,scr_selcode,sub_name,scr_period
915,2393,商業軟體應用(一),(二)11-13 紀207(電腦實習室) 王淑娟
916,2390,會計學(二),(二)02-04 商305 曹秀惠
917,2396,商事法,(二)07-09 語407 林孟玲
918,2397,組織行為,(二)02-04 商303 黃文柔
919,2401,管理科學實習,(二)01     商303
920,2405,統計學(二),(二)02-04 商104 張玉媚
921,2406,統計學(二)實習,(二)06-07 語207
922,2421,國際企業管理,(二)02-04 商309 張寶蓉
923,2429,文化創意經營策略,(二)11-13 科航205 劉平文
924,2430,企業資源規劃實務(二),(二)07-09 行政二館104-電腦實室 吳如娟
925,2436,職場英文,(二)07-09 商404 黃禮林
926,2424,企業倫理與社會責任,(二)02-04 商401 張美燕
927,2443,流通管理,"(二)02-04 商205 李兆玄,王汝鵬"
928,2445,綠色企業與創業,(二)06-08 商303 張寶蓉
929,2447,行銷管理,(二)07-09 商503 王智弘
930,2449,財務管理,(二)02-04 商503 黃禮林
931,2458,網路行銷,(二)02-04 商501 陳建文
932,0126,國際貿易與經營導論,"(二)08-09 商403 劉翁昆,陳信宏"
933,4273,全民國防教育軍事訓練(二),"(二)01-02 行政二館205(視聽室) 余君青,徐敬浩"
934,0136,國際貿易與經營導論,"(二)06-07 商104 劉翁昆,曾鼎翔"
935,0142,國際金融,(二)02-04 商403 吳文臨
936,0167,商業英文簡報,(二)11-13 商106 莫非
937,0170,期貨與選擇權,(二)07-09 商306 王若愚
938,0152,國際貿易實務(二),(二)02-04 商206 劉翁昆
939,0153,國際貿易實務(二)實習,(二)01     商206
940,0160,國際貿易實務(二),(二)02-04 商402 黃秀英
941,0162,國際貿易實務(二)實習,(二)01     商402
942,0176,網路貿易與經營,(二)07-09 商301(電腦實習室) 徐瑞玲
943,0195,貨物運輸保險實務,(二)11-13 商304 鍾玉輝
944,0201,大陸與東協台商資金管理,(二)02-04 商304 江怡蒨
945,0179,國際物流管理,(二)02-04 商203 曾柏興
946,0187,電子商務,(二)07-09 商401 張伊婷
947,0205,面試英文,(二)07-09 商405 陳淑真
948,0217,全球運籌管理專題,(二)02-04 商808A 蔡耀德
949,0219,國際企業管理,(二)06-08 商808A 韓宜
950,0811,大學國文(二),(二)03-04 語403 王惠鈴
951,0817,經濟學(二),(二)08-10 人504 陳依依
952,0828,電子商務,(二)02-04 商107 黃焜煌
953,0388,班級活動,"(二)08-09 語201 吳朝欽,許慧雯"
954,0396,班級活動,"(二)08-09 商104 賴炎卿,黃定遠"
955,0398,財稅概論,(二)03-04 人507 梁景洋
956,0405,班級活動,(二)09-10 語402 洪國仁
957,0408,民法概要,(二)02-04 商302 林倖如
958,0411,統計學(二)實習,(二)07-08 語402 王怡晴
959,0420,記帳相關法規,(二)11-13 商401 洪國仁
960,0418,統計學(二)實習,(二)07-08 商203 楊子萱
961,0426,專業外語,(二)01-02 人404 董綺安
962,0439,投資學,(二)07-09 語105 何艷宏
963,0435,管理會計,(二)02-04 忠207 賴炎卿
964,0436,管理會計實習,(二)01     忠207
965,0446,研究方法,(二)07-09 商1111 梁景洋
966,0447,租稅理論,"(二)02-04 商1111 何艷宏,黃瓊如"
967,0495,統計學(二),(二)02-04 語105 魏裕中
968,0498,微積分(二),(二)06     理313 (三)03-04 理313 林彩玉
969,0505,資訊網路,(二)08-09 資電B29(電腦實習室) 陳寅龍
970,0501,統計學(二),(二)02-04 語204 王婉倫
971,0504,微積分(二),(二)06     理409 (三)03-04 理401 吳純純
972,0522,商事法,(二)11-13 行政二館205(視聽室) 王邁揚
973,0524,線性代數(二),(二)06-08 科航206 林文欽
974,0525,班級活動,(二)01     商102 王廼聖
975,0526,多變量分析,(二)02-04 商102 王廼聖
976,0530,應用數理統計學(二)實習,(二)09-10 語204 李潔
977,0535,應用數理統計學(二),(二)02-04 語302 張育瑋
978,0536,應用數理統計學(二)實習,(二)06-07 語302 李潔
979,0539,班級活動,(二)05     語204 林麗芬
980,0546,衍生性金融商品,(二)06-08 商1011 林問一
981,0548,統計計算,(二)02-04 資電B13 陳婉淑
982,0556,類別資料分析,(二)02-04 商1013 李仁佑
983,0572,統計學(二),(二)06-08 語304 林麗芬
984,0577,個體經濟學(二),(二)02-04 商201 陳善瑜
985,0579,統計學(二),(二)06-08 商207 鍾冬川
986,0582,總體經濟學(二)實習,(二)01     商201
987,0589,計量經濟學,(二)07-09 商402 秦國軒
988,0599,金融操作實務,(二)11-13 商208 陳金發
989,0602,賽局與經濟,(二)02-04 商208 陳依依
990,0596,財務管理,(二)07-09 商208 陳瓊怜
991,0607,總體經濟理論(一),(二)02-04 商907 顏厚棟
992,0611,國際貿易專題研究,(二)08-10 商911 趙志鉅
993,0452,班級活動,"(二)08-09 語405 汪浩,葉俐廷"
994,0454,合作經濟學,(二)02-04 商406 李桂秋
995,0456,會計學(二)實習,(二)06-07 語405 張巧旻
996,0457,微積分(二)實習,(二)01     語302
997,0462,班級活動,(二)08-09 商406 李桂秋
998,0464,專案管理,(二)01-03 商106 郭廸賢
999,0470,班級活動,(二)08-09 人706 郭廸賢
1000,0479,綠色營造與社區永續,(二)02-04 語202 汪浩
1001,0480,班級活動,(二)08-09 語303 劉文榮
1002,0490,顧客關係管理,(二)02-04 商1009 江宜芳
1003,0755,班級活動,"(二)06-07 人707 林志皇,李悅端"
1004,0761,班級活動,"(二)06-07 語205 李宜靜,王婉禎"
1005,0781,茶道與生活空間之美,(二)02-04 商410 蘇維祺
1006,4354,化妝品設計與風格,(二)06-07 行政二館205(視聽室) 吳珮瑄
1007,0777,產品設計與定價策略,(二)08-10 人202 丁美靜
1008,0784,班級活動,(二)06     商405 何晉瑋
1009,0785,行銷研究與田野調查,(二)07-09 語404 林志皇
1010,0798,品牌識別設計,(二)02-04 資電222(第三國會廳) 李宜靜
1011,0790,班級活動,(二)06     商204 凱達西
1012,0792,服務業行銷,(二)07-09 商204 王郁彬
1013,0801,班級活動,(二)05     商304 林志皇
1014,0805,世界市場與中國社會,(二)07-09 人204 高承恕
1015,0802,班級活動,(二)06     商107 王婉禎
1016,0629,班級活動,(二)14     商305 高惠松
1017,0630,行銷管理,(二)11-13 商305 林志皇
1018,0638,統計學(二),(二)11-13 商203 高秀蘭
1019,0639,統計學(二)實習,(二)14     商203
1020,0648,策略管理,(二)11-13 商202 黃鴻鈞
1021,0650,投資學,(二)11-13 商104 滿肇怡
1022,0653,班級活動,(二)14     商302 葉俐廷
1023,0654,投資學,(二)11-13 商302 葉俐廷
1024,0663,班級活動,(二)14     科航B102 楊坤鋒
1025,0664,行銷管理個案研究,(二)11-13 科航B102 楊坤鋒
1026,0680,專業法學英文(二),(二)01-02 商712 林廷機
1027,0681,勞動社會法,(二)11-12 商105(實習法庭) 曹宗鼎
1028,0690,行政爭訟法,(二)07-08 商712 林倖如
1029,0693,關係企業法專題研究,(二)09-10 商712 廖崇宏
1030,0697,刑事訴訟法(二),(二)01-02 商707 洪文章
1031,0704,破產法,(二)09-10 商105(實習法庭) 張升星
1032,0719,科技專案管理,"(二)07-09 商527 賴文祥,許瓊文"
1033,0728,產學應用專題 (三),(二)06     商527 許瓊文
1034,0744,國際行銷管理,(二)02-04 商409 曾鼎翔
1035,0746,大中華公司治理,(二)07-09 商107 江松沐
1036,0834,會計學(二),(二)11-13 商204 張沐雲
1037,0835,會計學(二)實習,(二)14     商204
1038,0839,班級活動,(二)14     商303 劉文榮
1039,0843,經濟學(二),(二)11-13 商303 劉文榮
1040,2631,電腦實習,(二)11-12 理203(數電腦室)
1041,2633,微積分(二),(二)03-04 理401 (四)01-02 理313 林震燦
1042,4295,全民國防教育軍事訓練(二),"(二)01-02 資電B22(視聽室) 劉申元,黃吉益"
1043,2640,普通物理(一),(二)03-04 理409 (五)03-04 理401 楊嘉會
1044,2648,高等微積分(二),(二)03-04 理313 (四)01-02 理409 張桂芳
1045,2650,統計學,(二)02     理407 (五)03-04 理407 楊菁菁
1046,2652,數值分析(一),(二)07     理203(數電腦室) (四)06-07 理203(數電腦室) 魏秀娟
1047,2662,微分方程(二),(二)06     理401 (三)06-07 理402 魏秀娟
1048,2663,複利數學,(二)08     理404 (三)03-04 理404 楊菁菁
1049,2655,高等微積分(二),(二)03-04 理402 (四)01-02 理401 林姿均
1050,2657,統計學,(二)07     理409 (四)06-07 理409 吳純純
1051,2659,數值分析(一),(二)02     理402 (五)03-04 理413 許佳璵
1052,2668,離散數學實習,(二)11-12 理413
1053,2675,密碼學,(二)06     理404 (四)06-07 理404 林姿均
1054,2669,班級活動,(二)05     理401 魏秀娟
1055,2672,離散數學實習,(二)11-12 理402
1056,2680,多媒體進階應用,(二)02-04 理205 林世勇
1057,2695,普通化學(一),"(二)03     理404 (四)03-04 理313 林俊德,李書安"
1058,2699,環境工程概論,"(二)01-02 理404 林俊德,陳志成"
1059,2703,普通化學(一),"(二)02     理413 (四)01-02 學105 林俊德,李書安"
1060,2707,環境工程概論,"(二)03-04 理413 陳志成,林俊德"
1061,2714,水質分析,(二)01-02 語307 吳俊哲
1062,2716,環境土壤學,(二)03-04 語307 (四)01     理407 陳建隆
1063,2726,防火防爆,(二)11-13 理313 李書安
1064,2728,環境變遷與永續發展,(二)08-09 學104 王唯匡
1065,2720,水質分析,(二)03-04 忠206 吳俊哲
1066,2722,環境土壤學,(二)01-02 忠206 (四)02     學104 陳建隆
1067,2735,噪音與振動,"(二)02-04 忠501 吳志超,楊惠玲"
1068,2746,儀器分析實驗,(二)08-10 理106 喻家駿
1069,2757,大氣擴散模式,(二)02-04 理B07 梁正中
1070,2758,生物技術,"(二)02-04 理303 簡正一,王唯匡,梁志銘"
1071,2759,地下水污染傳輸,(二)08-10 理303 馮秋霞
1072,4317,水之物理化學處理程序,"(二)11-13 理303 楊惠玲,陳文祥"
1073,2773,材料科學導論實習(二),(二)10     學103
1074,2775,普通化學實驗(二),(二)02-03 工302 (二)04     工202(化學實驗室) 張振昌
1075,2783,材料科學導論實習(二),(二)10     學101
1076,2787,普通物理實驗(二),(二)02-04 科航101(物實驗室一) 葉建宏
1077,2794,材料熱力學(二),(二)08-09 學103 (四)06     學101 陳錦毅
1078,2795,材料基礎實驗(二),(二)01-04 學211 李立鼎
1079,2805,金屬加工與熱處理,(二)06-07 學104 (三)06     學104 孫道中
1080,2799,工程數學(二),(二)02     學105 (四)06-07 學105 林昆明
1081,2800,材料熱力學實習(二),(二)09     學105
1082,2801,材料熱力學(二),(二)03-04 學105 (三)02     學103 孫道中
1083,2819,微電薄膜之生長及分析實驗,(二)08-10 學301 陳錦山
1084,2821,薄膜技術,(二)03-04 學101 (三)07     學101 何主亮
1085,2825,透明導電氧化物薄膜製程實驗,(二)02-04 學313 蔡健益
1086,2827,綠色能源材料,(二)06-07 學103 (四)07     學104 張育誠
1087,4345,航空材料學,(二)11-13 理404 林孟泓
1088,2838,材料界面特論,(二)02-04 學409 王致傑
1089,2839,專題討論(四),(二)05     學409 張育誠
1090,2901,普通物理(二),(二)02     學415 (三)03-04 忠211 胡水上
1091,2902,普通物理實習(二),(二)01     學415 鄭翰陽
1092,2905,微積分(二),(二)07     理401 (五)03-04 理402 黃同瑤
1093,2920,電磁學(二),(二)03-04 學515 (五)02     理413 林泰生
1094,2932,科學儀器學,(二)08-10 理211 周哲仲
1095,2925,光學(一),(二)02     學515 (三)03-04 科航204 盧聖華
1096,2928,應用電子學(二),(二)03-04 學415 (三)02     人601 周哲仲
1097,2944,光顯示器概論,(二)08     理409 (四)03-04 學102 葉建宏
1098,2945,光纖元件與應用概論,(二)01-02 理313 (三)01     學102 吳正文
1099,2947,奈米科學概論,(二)06-07 理402 (五)06     理404 蔡雅芝
1100,2941,光電半導體元件導論,(二)03-04 理407 (三)07     理413 唐謙仁
1101,2953,全像原理與應用,(二)08-10 學415 陳敬恒
1102,2957,光電子學,(二)02-04 理101 賴俊峰
1103,2958,專題討論(二),(二)07     理101 唐謙仁
1104,2967,專題討論(四),(二)06     理101 葉建宏
1105,2850,文字學(二),(二)08-09 人405 李綉玲
1106,2851,文學概論(二),(二)06-07 人405 余美玲
1107,2854,文化創意理論與實務,(二)03-04 人505 余風
1108,2860,詩選及習作(二),(二)06-07 資電B04 李寶玲
1109,2861,簡報設計理論與實務,(二)08-09 資電B13 余風
1110,2873,曲選及習作,(二)10     人605 (三)03-04 人605 鐘文伶
1111,2878,訓詁學,(二)06-07 語103 宋建華
1112,2881,篆刻藝術創作,(二)03-04 人901 李清源
1113,2884,文心雕龍,(二)06-07 語104 梁煌儀
1114,2890,中國古典美學研究,(二)02-04 人904 王祥齡
1115,4355,中外文化交流研究,(二)08-10 人901 林韻柔
1116,2034,西洋文學概論(二),(二)08-10 資電403 邱源貴
1117,2039,英文作文(二),(二)02-04 人408 周玉楨
1118,2040,英文作文(二),(二)02-04 人502 李麗秋
1119,2041,英文作文(二),(二)02-04 人602 劉顯親
1120,2049,英文(二),(二)02-04 資電410 彭芳美
1121,2051,英文作文(二),(二)08-10 人502 周玉楨
1122,2052,英文作文(二),(二)08-10 人602 蔡明秀
1123,2067,語言學概論(二),(二)02-04 人501 林羨峯
1124,2076,英文作文(四),(二)06-07 人602 蕭碧莉
1125,2077,第二外語（二）-德文,(二)08-09 人604 安馬丁
1126,2078,第二外語（二）-西班牙文,(二)08-09 人606 羅珮瑄
1127,2079,第二外語（二）-日文,(二)08-09 人701 郭毓芳
1128,2080,第二外語（二）-法文,(二)08-09 人401 劉森堯
1129,2082,小說選讀,(二)11-12 資電411 (四)07     資電411 何文敬
1130,2069,英語演說,(二)01-02 人702 沈薇薇
1131,2070,英語演說,(二)03-04 人702 沈薇薇
1132,2072,英文作文(四),(二)06-07 人702 王柏婷
1133,2073,英文作文(四),(二)06-07 資電B13(電腦實習室) 董綺安
1134,2088,英文作文(六),(二)03-04 人402 王柏婷
1135,2101,高階英文,(二)01-02 人403 王大維
1136,2102,第二外語（四）-日文,(二)06-07 人407 郭毓芳
1137,2103,第二外語（四）-法文,(二)06-07 人507 劉森堯
1138,2104,第二外語（四）-德文,(二)06-07 人506 安馬丁
1139,2105,第二外語（四）-西班牙文,(二)06-07 人606 羅珮瑄
1140,2109,句法學,(二)08-09 人403 林育稜
1141,2098,口譯概論,(二)03-04 資電411 蔡明秀
1142,2099,口譯概論,(二)03-04 人708 劉子瑄
1143,2119,旅遊英文,(二)06-07 人706 莊坤良
1144,2122,歐洲文學1800以後,(二)08-10 人503 周美麗
1145,2131,兒童文學、動畫與書寫,(二)02-04 人1108 林明洵
1146,2142,近代中國社會與文化專題研究,(二)08-09 人910 王志宇
1147,2145,台灣文化史專題研究,(二)02-04 人910 陳哲三
1148,2167,專題討論(二),(二)06     資電533 劉堂傑
1149,1421,邏輯設計實習,(二)02-04 資電401 陳啟鏘
1150,1426,普通物理-電、磁、光,(二)01-03 資電306 李賜福
1151,1434,計算機概論與實習(III),(二)02-04 資電103 (三)08-10 資電125(電腦實習室) 林佩君
1152,1435,計算機概論與實習(IV),(二)02-04 資電103 (三)08-10 資電125(電腦實習室) 林佩君
1153,1437,普通物理-電、磁、光實驗,(二)08-10 科航101(物實驗室一) 盧聖華
1154,1443,系統程式,(二)06     忠B01 (三)03-04 忠B03 黃志銘
1155,1444,機率論,(二)01-02 資電404 (四)04     商304 游景盛
1156,1446,系統程式,(二)08     資電404 (三)03-04 資電404 林明言
1157,1447,機率論,(二)06-07 商311 (四)04     資電B22(視聽室) 洪維志
1158,1449,系統程式,(二)06-07 資電404 (四)04     資電404 林明言
1159,1450,機率論,(二)02     忠B08 (三)03-04 忠B05 洪維志
1160,1452,系統程式,(二)07     忠B01 (三)01-02 資電404 王銘宏
1161,1453,機率論,(二)01-02 忠B03 (四)04     資電103 劉明機
1162,1477,文獻研討(二),(二)06-07 資電311 林志敏
1163,1478,文獻研討(二),(二)06-07 資電205 楊濬中
1164,1481,具體數學,(二)02-04 資電311 劉怡芬
1165,1490,敏捷開發,(二)11-13 資電311 許懷中
1166,2174,UNIX應用與實務,(二)03     資電515 (二)04     資電B29(電腦實習室) 林國貴
1167,2177,組合數學,(二)03-04 資電402 (五)01     資電403 游景盛
1168,2202,作業系統(二),(二)03-04 資電108 (四)03     語303 林志敏
1169,2205,雲端應用系統開發,(二)06     商301(電腦實習室) (三)09-10 商301(電腦實習室) 林峰正
1170,2206,軟體品質保證與軟體測試,(二)03-04 資電234 (五)02     資電108 薛念林
1171,1582,普通物理-電、磁、光實驗,(二)08-10 科航102(物實驗室二) 洪耀正
1172,1590,計算機概論(二),(二)06-07 紀103 (三)02     資電125(電腦實習室) 梁詩婷
1173,1591,計算機概論實習(二),(二)01-02 資電B29(電腦實習室) 梁詩婷
1174,1592,普通物理-電、磁、光實驗,(二)08-10 科航104(物實驗室四) 胡水上
1175,1608,班級活動,(二)06     資電403 康宗貴
1176,1611,班級活動,(二)06     語404 劉漢胤
1177,1614,班級活動,(二)07     科航B102 鄭經華
1178,1615,專題討論(二),(二)08     資電402 吳其昌
1179,1624,積體電路後段製程技術,(二)02-04 電通306 康宗貴
1180,1626,工作放大器設計,(二)02-04 電通120 蕭敏學
1181,1628,專題討論(四),(二)09     資電402 吳其昌
1182,1629,超大型積體電路特論,(二)10-12 電通306 吳其昌
1183,2183,電子材料,(二)03-04 資電107 (三)08     資電102 王啟林
1184,2186,超大型積體電路設計工具應用,(二)07-09 電通303 周仲韓
1185,2188,機率論,(二)01     資電410 (三)01-02 資電B03 康宗貴
1186,2224,奈米應用概論,(二)08-10 資電504 林成利
1187,2225,金氧半元件,(二)03-04 資電511 (三)07     資電512 楊炳章
1188,2227,超大型積體電路設計導論,(二)02     忠B01 (五)03-04 忠B01 周仲韓
1189,2228,介面設計,(二)11-13 電通303 吳鴻璋
1190,2253,超大型積體電路製程(二),(二)02-04 資電512 楊文祿
1191,2260,電子電路設計實務,(二)08-10 資電B04 蕭敏學
1192,1649,電路學(一),(二)03-04 資電504 (三)06     資電104 陳益生
1193,1650,微積分(二)實習,(二)01-02 忠209 李承璋
1194,1652,邏輯設計,(二)06-07 資電103 (三)04     資電504 黃定彝
1195,1656,計算機概論(二),(二)03-04 忠203 (五)03     忠206 王壘
1196,1659,電路學(一),(二)06     資電306 (三)06-07 資電306 鄭進興
1197,1661,微積分(二),(二)07     資電306 (四)03-04 資電B07 唐永立
1198,1668,電磁學(二),(二)03-04 人607 (四)04     資電102 黃定彝
1199,1669,微處理機系統,(二)06-07 資電402 (三)04     資電306 何子儀
1200,1674,電子學實驗(二),(二)01-03 資電330 何子儀
1201,1676,微處理機系統,(二)08     資電104 (三)06-07 資電103 唐丞譽
1202,1679,工程數學(二),(二)08     資電306 (三)01-02 資電306 鄭進興
1203,1683,微處理機系統,(二)06-07 資電B03 (三)03     資電306 唐丞譽
1204,1694,專題討論(二),(二)07     資電312 陳坤煌
1205,1701,類比積體電路,(二)11-13 資電312 劉紹宗
1206,1703,碩士論文,(二)08     資電312 陳坤煌
1207,1705,電力系統故障分析,(二)02-04 資電312 蘇恆毅
1208,2179,能源轉換,(二)09     資電306 (四)06-07 資電306 鄭進興
1209,2180,幾何光學,(二)09     資電104 (四)08-09 資電512 李企桓
1210,2181,色彩學,"(二)10     資電102 (四)06-07 資電512 李企桓,陳德請"
1211,2207,電力系統 (二),(二)01-02 資電102 (三)01     資電B08 黃思倫
1212,2210,光電工程,(二)07     資電102 (三)03-04 資電403 梁寶芝
1213,2211,光纖工程,(二)08-10 資電331 傅明宇
1214,2245,基礎科技英文,(二)08     科航202 (三)08-09 資電103 曹嶸
1215,2247,紅外線工程,(二)09     科航202 (三)06-07 資電102 陳德請
1216,1709,計算機概論(二),(二)03     建301 (三)06-07 忠205 許煜亮
1217,1714,微積分(二),(二)09     資電102 (四)08-09 資電404 陳孝武
1218,1715,邏輯設計,(二)04     建301 (五)03-04 資電306 林南州
1219,1719,計算機概論(二),(二)04     建305 (三)01-02 商203 郭至恩
1220,1724,微積分(二),(二)08     理401 (四)03-04 語305 楊建成
1221,1725,邏輯設計,(二)03     建305 (五)01-02 語407 林南州
1222,1726,邏輯設計實習,(二)11-13 資電502 林南州
1223,1729,信號與系統,(二)01-02 資電403 (四)04     忠205 許煜亮
1224,1732,微處理機系統,(二)04     資電104 (三)08-09 資電306 陳昶孝
1225,1736,信號與系統,(二)01-02 資電104 (三)07     資電104 陳昶孝
1226,1739,微處理機系統,(二)03     資電104 (三)08-09 資電104 陳鏡崑
1227,1741,班級活動,(二)08-09 資電B03 許煜亮
1228,1749,班級活動,(二)08-09 人704 陳昶孝
1229,1757,班級活動,(二)08-09 人707 林昱成
1230,1758,班級活動,(二)08-09 忠207 黃建立
1231,1759,專題討論(二),"(二)07     資電418 邱創乾,林賢龍"
1232,1766,機器人學,(二)11-13 資電418 吳穎強
1233,1772,微致動器設計,(二)02-04 資電418 張興政
1234,1774,醫用磁振造影原理與應用,(二)02-04 資電409 陳君明
1235,2189,工程力學(二),(二)06     資電102 (三)01-02 資電B04 黃建立
1236,2190,半導體元件,(二)10-12 資電511 陳雅惠
1237,2235,油氣壓控制工程,(二)11-13 資電403 林錫麟
1238,2231,光機電系統設計,(二)06-07 忠307 (四)04     忠305 張興政
1239,2252,醫療器材專論,(二)11-13 資電402 吳杰亮
1240,2265,通訊原理與應用,(二)03-04 資電102 (四)07     資電410 黃建立
1241,2218,電磁波,(二)07     資電B08 (三)03-04 忠B01 林漢年
1242,2274,微積分(二),(二)03-04 資電B08 (五)03     資電103 陳志瀅
1243,2286,邏輯設計實習,(二)02-04 資電502 楊豐瑞
1244,2288,信號與系統,(二)03     語306 (三)06-07 人705 辛正和
1245,2289,電子學(二),(二)02     語306 (三)08-09 人705 何滿龍
1246,2290,電子學實驗(二),(二)11-13 資電501A 何滿龍
1247,2292,微處理機系統,(二)07-09 紀207(電腦實習室) 朱嘯秋
1248,2295,系統程式,(二)04     紀207(電腦實習室) (四)03-04 資電B19(電腦實習室) 袁世一
1249,2298,電子學(二),(二)07     語301 (三)01-02 資電402 辛紹志
1250,2302,微處理機系統實習,(二)01-03 資電248 鄒耀東
1251,2303,班級活動,(二)06     資電104 趙啟時
1252,2307,數位通訊系統實習,(二)02-04 資電B19(電腦實習室) 廖和恩
1253,2313,數位濾波器,(二)08     人601 (四)03-04 資電B06 廖和恩
1254,2308,班級活動,(二)06     資電504 尤正祺
1255,2309,專業外語,(二)01-02 紀207(電腦實習室) 趙啟時
1256,2311,數位通訊系統,(二)04     資電403 (三)01-02 人505 林維崙
1257,2315,班級活動,(二)06     商203 朱嘯秋
1258,2316,班級活動,(二)06     資電B08 辛正和
1259,2319,專題討論(二),(二)06     人406 廖時三
1260,2321,微波工程(二),(二)02-04 電通503 廖時三
1261,2323,數位影像處理,(二)08-10 電通503 林立謙
1262,2326,專題討論(四),(二)07     人406 廖時三
1263,2327,統計信號處理,(二)01-03 電通218 林維崙
1264,2336,計算機概論(二),(二)07     資電504 (三)03-04 資電103 蘇宗安
1265,2337,計算機概論實習(二),(二)01-02 土302(電腦實習室) 蘇宗安
1266,2339,電路學(一),(二)03-04 語401 (二)09     資電B08 尤正祺
1267,2341,微積分(二),(二)06     語301 (四)03-04 語301 楊菁菁
1268,2342,邏輯設計,(二)08     資電B08 (四)01-02 語301 陳冠宏
1269,2348,普通物理-電、磁、光實驗,(二)01-03 科航104(物實驗室四) 江俊明
1270,2351,微積分(二),(二)06-07 語201 (四)02     語306 魏傳昇
1271,2352,邏輯設計,(二)04     資電515 (三)03-04 理407 林育德
1272,2355,自動化專題,(二)12-14 資電512 李企桓
1273,2356,專題研討(二),(二)08     資電532 沈昭元
1274,2357,工廠實務,(二)09-11 資電532 沈昭元
1275,4497,文獻研討(二),(二)07     資電503 游景盛
1276,2364,文獻研討(四),(二)09     資電503 劉堂傑
1277,2367,文獻研討(六),(二)06     資電532 沈昭元
1278,2368,文獻研討(八),(二)07     資電532 沈昭元
1279,2370,文獻研討(二),(二)11     資電512 李企桓
1280,0946,班級活動,"(二)09     土402A 許澤善,王起平"
1281,0952,微積分(二),(二)01     語104 (三)01-02 忠203 許佳璵
1282,0953,應用力學,(二)08     土402A (四)03-04 忠310 王起平
1283,4300,全民國防教育軍事訓練(二),"(二)06-07 資電B22(視聽室) 王金輝,余君青"
1284,0954,班級活動,"(二)09     忠310 陳清標,黃逸萍"
1285,0960,微積分(二),(二)02     理401 (三)01-02 理401 林維鈞
1286,0963,班級活動,(二)09     紀103 林保宏
1287,0964,工程數學(二),(二)02-04 土403 許澤善
1288,0971,班級活動,(二)09     忠303 康裕明
1289,0974,土壤力學試驗,(二)07-08 土力實驗室 康裕明
1290,0977,流體力學,(二)02-04 忠310 廖清標
1291,0981,班級活動,(二)09     土403 林正紋
1292,0983,鋼筋混凝土(二),(二)07-08 土403 林慶昌
1293,0989,大地測量,(二)01-02 土402A 陳清標
1294,0994,量測系統學,(二)03-04 土402A 廖為忠
1295,0995,電腦在土木工程之應用,(二)11-13 行政二館105-電腦實室 張民岦
1296,0985,班級活動,(二)09     忠308 蘇人煇
1297,0986,工程地質,(二)07-08 理407 陳廣祥
1298,0999,班級活動,(二)09     語306 廖為忠
1299,1004,耐震設計,(二)02-04 土B10 蕭家孟
1300,1000,班級活動,(二)09     語102 林威延
1301,1020,建築結構設計與程式 ETABS 之應用,(二)11-13 土B03 張志超
1302,1024,班級活動,"(二)08-09 忠309 鄭仙偉,陳昶憲"
1303,1030,應用力學,(二)03-04 忠210 (四)02     土509 鄭仙偉
1304,1031,班級活動,"(二)08-09 語103 廖清標,王傳益"
1305,1036,微積分(二),(二)01     語101 (三)01-02 理404 唐永立
1306,1039,班級活動,(二)09-10 土509 陳憲宗
1307,1053,工程數學(二),"(二)02-04 土509 許盈松,劉建榮"
1308,1055,土壤力學試驗,(二)11-12 土力實驗室 蔡崇興
1309,1046,班級活動,(二)08-09 土B03 蘇惠珍
1310,1047,土壤力學,(二)06-07 土402A 蔡崇興
1311,1059,班級活動,(二)08     忠208 許少華
1312,1062,鋼筋混凝土學,(二)03-04 忠303 (四)09     土509 林慶昌
1313,1067,工程基本規劃設計,(二)11-13 忠310 黃貞凱
1314,1063,班級活動,(二)08     語306 葉昭憲
1315,1064,水土保持工程,"(二)02-04 土B03 吳俊鋐,連惠邦"
1316,1076,班級活動,(二)08     紀103 李漢鏗
1317,1080,地下水與模式應用,"(二)03-04 土302(電腦實習室) (三)10     土B03 許少華,劉建榮"
1318,1077,班級活動,(二)08     忠303 張嘉玲
1319,1084,專題討論(二),(二)07-08 土509 陳憲宗
1320,1087,生態棲地保育與檢核,"(二)02-04 土514 李漢鏗,蘇惠珍"
1321,2467,經濟學實習,(二)05     紀209A
1322,2481,電腦圖學,(二)11-12 資電125(電腦實習室) 戴國政
1323,2482,資料庫管理系統,(二)07-09 紀401 陳朝輝
1324,4283,全民國防教育軍事訓練(二),"(二)01-02 紀204(第一國會廳) 廖志明,周吳龍"
1325,2474,物流概論,(二)03-04 紀209B 林大傑
1326,2484,大眾運輸系統學,(二)07-09 紀409 李克聰
1327,2489,軌道工程,(二)03-04 紀409 徐耀賜
1328,2501,交通肇事分析與鑑定,(二)01-02 紀409 葉名山
1329,2495,作業研究實習,(二)05     忠611(電腦實習室)
1330,2499,視窗程式,(二)03-04 忠611(電腦實習室) 陳朝輝
1331,2510,運輸安全,(二)03-04 紀110 楊宗璟
1332,2513,工程倫理,(二)02     紀110 葉昭甫
1333,2526,全球運籌管理,(二)11-13 忠308 林繼昌
1334,2531,鐵路運轉調度理論與實務,(二)07-09 紀110 朱來順
1335,2518,智慧物流,(二)02-04 忠308 蘇昭銘
1336,2522,工程倫理,(二)01     忠308 葉昭甫
1337,2534,交通績效分析,(二)07-09 土302(電腦實習室) 楊宗璟
1338,2535,航空站規劃與設計,(二)11-13 忠501 李克聰
1339,2538,數量方法(二),(二)07-09 紀412 劉霈
