,scr_selcode,sub_name,scr_period
99,1778,普通物理-電、磁、光,(一)03-04 理401 蔡雅芝
100,1783,班級活動,"(一)06-07 科航203 陳啟川,鄭仙志"
101,1791,班級活動,(一)06-07 科航202 葉俊良
102,1793,材料力學(二),(一)03-04 科航205 郭文雄
103,1798,班級活動,(一)06-07 科航201 黃柏文
104,1804,熱力學(二),(一)03-04 科航202 葉俊良
105,1812,飛具設計(一),(一)02-03 行政二館105-電腦實室 方俊
106,1813,飛行力學(一),(一)04     科航204 (四)06-07 科航204 陳啟川
107,1827,飛機操作及通話程序,(一)08-09 科航201 曹家祥
108,1819,系統工程與管理,(一)03-04 科航201 賴盈誌
109,1821,飛行力學(一),(一)02     科航201 (四)03-04 科航201 陳啟川
110,1822,航太工程實驗,(一)11-13 科航201 呂欣芳
111,1833,航空氣象與天文學,(一)11-12 科航203 曹家祥
112,1838,專題討論(二),(一)08     科航505 宋齊有
113,1841,結構最佳化設計,(一)02-04 科航505 鄭仙志
114,1847,專題討論(四),(一)09     科航505 宋齊有
115,1860,專題研究(二),(一)08     工506 蔡忠杓
116,1863,專題討論(四),(一)09     工506 蔡忠杓
117,1865,電腦輔助電聲工程分析,(一)08-10 工209 蔡鈺鼎
118,1866,電聲數位訊號處理,(一)02-04 工506-7 蔡鈺鼎
119,1868,專題討論,(一)07     工506-7 黃錦煌
120,1926,專題討論(二),(一)08     學705 朱正永
121,4378,再生能源智慧電能管理,(一)02-04 學711-1 張忠賢
122,1930,專題研究(二),(一)09     學705 朱正永
123,1942,班級活動,"(一)09-10 人B119A 戴國政,徐瑞宏"
124,1945,工程材料學實驗,(一)03-04 忠203 洪榮洲
125,1947,系統設計概論與工程倫理,(一)06-08 語305 楊錦成
126,1949,微積分(二)實習,(一)01-02 忠203
127,1952,班級活動,(一)09-10 人B119A 陳建羽
128,1957,機構學,(一)01-04 土302(電腦實習室) 徐瑞宏
129,1959,電腦輔助工程分析,(一)06-08 工319(電腦實習室) 陳建羽
130,1983,高等電腦輔助工程分析,(一)11-13 科航504 方俊
131,0029,跨國企業策略與文化,(一)06-08 商804A 林豐智
132,0033,班級活動,"(一)09-10 商203 翁慈青,陳光政"
133,0038,APPS程式設計,(一)01-02 圖213 許以龍
134,0039,班級活動,"(一)09-10 商208 張森河,鄭竹君"
135,0044,APPS程式設計,(一)01-02 商301(電腦實習室) 管志偉
136,0045,班級活動,"(一)09-10 商202 蕭子誼,吳東憲"
137,0047,套裝軟體-EXCEL,(一)01-02 資電B29(電腦實習室) 劉怡芬
138,0050,APPS程式設計,(一)06-07 圖213 何京典
139,0052,班級活動,(一)09-10 商206 高惠松
