2017-04-04 23:59:59,38:ca:da:9c:9c:3b,bg_w_2f_3f01
2017-04-04 23:59:55,34:97:f6:67:7d:35,af_w_1f_2f07
2017-04-04 23:59:54,34:97:f6:67:7d:35,af_w_1f_2f07
2017-04-04 23:59:49,6c:8d:c1:59:77:28,gdorm_w_1f02
2017-04-04 23:59:46,8c:1a:bf:e3:b0:a0,bg_w_2f_2f01
2017-04-04 23:59:46,8c:1a:bf:e3:b0:a0,bd_w_3f_1f02
2017-04-04 23:59:45,c4:3a:be:b4:37:17,bdorm_w_1f_b1f02
2017-04-04 23:59:40,d0:a6:37:3b:64:6a,bw_w_1f_b1f04
2017-04-04 23:59:37,9c:f4:8e:62:fc:4c,bdorm_w_1f_b1f02
2017-04-04 23:59:32,8c:1a:bf:e3:b0:a0,bd_w_3f_1f02
2017-04-04 23:59:32,8c:1a:bf:e3:b0:a0,bd_w_3f_1f03
2017-04-04 23:59:25,34:97:f6:67:7d:35,af_w_1f_2f07
2017-04-04 23:59:23,34:97:f6:67:7d:35,af_w_1f_2f07
2017-04-04 23:59:19,8c:1a:bf:e3:b0:a0,bd_w_3f_1f03
2017-04-04 23:59:19,8c:1a:bf:e3:b0:a0,bg_w_2f_2f01
2017-04-04 23:59:06,d0:a6:37:3b:64:6a,bw_w_1f_b1f04
2017-04-04 23:58:54,34:97:f6:67:7d:35,af_w_1f_2f07
2017-04-04 23:58:53,34:97:f6:67:7d:35,af_w_1f_2f07
2017-04-04 23:58:45,8c:1a:bf:e3:b0:a0,bg_w_2f_2f01
2017-04-04 23:58:45,8c:1a:bf:e3:b0:a0,bg_w_2f_2f02
2017-04-04 23:58:44,28:e1:4c:da:71:0e,ae_w_1f_3f06
2017-04-04 23:58:44,28:e1:4c:da:71:0e,ae_w_1f_4f08
2017-04-04 23:58:40,d0:a6:37:3b:64:6a,bw_w_1f_b1f04
2017-04-04 23:58:24,34:97:f6:67:7d:35,af_w_1f_2f07
2017-04-04 23:58:23,34:97:f6:67:7d:35,af_w_1f_2f07
2017-04-04 23:58:21,8c:1a:bf:e3:b0:a0,bg_w_2f_2f02
